licitacao_id,item_portfolio_id,descricao_portfolio,score,tipo_match
126001460001572025123_00094/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
126001460001572025123_00094/2025,,NOREPINEFRINA 8MG INJ 4ML C/50 AMP (G),53.06%,MÉDIO
1393703200016020252756_775/2025/2025,,FRALDA G INFANTIL PCT C/60 FD 240,62.50%,MÉDIO
1393703200016020252756_775/2025/2025,,FRALDA M INFANTIL  PCT C/70 FD 280,62.50%,MÉDIO
1393703200016020252756_775/2025/2025,,FRALDA P INFANTIL PCT C/80 FD 320,62.50%,MÉDIO
1393703200016020252756_775/2025/2025,,FRALDA XXG INFANTIL PCT C/40 FD 160,60.00%,MÉDIO
1393703200016020252756_775/2025/2025,,FRALDA XXG/EGG INFANTIL  PCT C/40 FD 160,55.56%,MÉDIO
00394452000103202524638_90104/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
6074731800016220251876_91571/2025,,VENLAFAXINA 75MG*(C1) CX/28 (I) (G),71.11%,ALTO
6074731800016220251876_91571/2025,,OLANZAPINA 5MG C/ 30CPRS (G),57.14%,MÉDIO
6074731800016220251876_91571/2025,,OLANZAPINA 10MG C/30 CPRS (G),54.05%,MÉDIO
6074731800016220251876_91571/2025,,"VENLAFAXINA 37,5MG*(C1) CX/28 (I) (G)",52.38%,MÉDIO
6074731800016220251876_91571/2025,,VENLAFAXINA 150MG*(C1) C/300 CAP (G),51.16%,MÉDIO
395639110001622025291_90168/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
240820160001592025701_90203/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,53.66%,MÉDIO
198439290001002025972_00699/2025,,"COMPLEXO ""B"" C/500 DRG",57.14%,MÉDIO
07954480000179202525235_202521115/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,53.73%,MÉDIO
271505490001192025320_00086/2025,,MONITOR DE GLICOSE ON CALL PLUS,50.00%,MÉDIO
46374500000194202512680_90098/2025,,ACETILCISTEINA 20MG/ML XPE FR 120ML,65.38%,MÉDIO
46374500000194202512680_90098/2025,,ACETILCISTEINA 20MG XPE 120 ML CX/24,64.15%,MÉDIO
46374500000194202512680_90098/2025,,ACETILCISTEINA 40MG XPE 120 ML CX/24,64.15%,MÉDIO
46374500000194202512680_90098/2025,,ACETILCISTEINA 40MG/ML XAROPE FR 120ML,61.82%,MÉDIO
46374500000194202512680_90098/2025,,ACETILCISTEINA 600MG ENV C/5G C/50 ENV,60.87%,MÉDIO
1512643700030520254472_90149/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,50.79%,MÉDIO
184313120006202025264_90571/2025,,HIDROCLOROTIAZIDA 25MG C/500 CPR (G),66.67%,MÉDIO
184313120006202025264_90571/2025,,HIDROXIDO ALUMINIO FR. 100ML ALUMIMAX,66.67%,MÉDIO
184313120006202025264_90571/2025,,"BISOPROLOL+HIDROCLOROTIAZIDA 5+12,5MG C/30",57.63%,MÉDIO
184313120006202025264_90571/2025,,FUROSEMIDA 40 MG CX/500 CPR (G),51.28%,MÉDIO
6302553000010420255566_90440/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,53.66%,MÉDIO
6044804000012220251044_91057/2025,,QUETIAPINA 25 MG *(C-1) C/200 CPR (G),77.55%,ALTO
6044804000012220251044_91057/2025,,TIGECICLINA 50 MG  PO LIOF INJ 10 FA,72.73%,ALTO
6044804000012220251044_91057/2025,,TEMOZOLOMIDA 100MG C/5 CPR (G),66.67%,MÉDIO
6044804000012220251044_91057/2025,,"TIMOLOL 0,5% SOL. OFT. 5 ML",62.50%,MÉDIO
6044804000012220251044_91057/2025,,OXITOCINA 5 UI/ML 1 ML  CX/50 (G) ( T ),58.54%,MÉDIO
6044804000012220251043_91056/2025,,PANTOPRAZOL 40 MG CX/28 (G),80.95%,ALTO
6044804000012220251043_91056/2025,,PANTOPRAZOL 40 MG F/A CX 25,77.27%,ALTO
6044804000012220251043_91056/2025,,NITROGLICERINA 50 MG 10ML C/10 TRIDIL,76.67%,ALTO
6044804000012220251043_91056/2025,,OMEPRAZOL 20 MG FRASCO C/56 CAP (G),73.08%,ALTO
6044804000012220251043_91056/2025,,TIGECICLINA 50 MG  PO LIOF INJ 10 FA,70.37%,ALTO
4249860000017120256498_PE 267/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,65.12%,MÉDIO
4249860000017120256497_PE 266/25/2025,,DIVALPROATO SODIO 250MG C/30 CPR,69.39%,MÉDIO
4249860000017120256497_PE 266/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4249860000017120256497_PE 266/25/2025,,SUXAMETÔNIO  500 MG F/A,53.33%,MÉDIO
4249860000017120256497_PE 266/25/2025,,METILDOPA 250 MG C/500 CPR (G),52.63%,MÉDIO
4249860000017120256497_PE 266/25/2025,,DICLOF.SODIO 50 MG SODIX  CX/500 COMP,50.00%,MÉDIO
4249860000017120256503_PE 273/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,65.12%,MÉDIO
4249860000017120256501_PE 269/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,65.12%,MÉDIO
4249860000017120256505_PE 275/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,65.12%,MÉDIO
4249860000017120256500_PE 268/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4249860000017120256504_PE 274/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4249860000017120256507_PE 271/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,62.86%,MÉDIO
462318900001432025708_00053/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
456996260001762025583_00053/2025,,NINTEDANIBE 150MG C/60 CAP,59.46%,MÉDIO
